Institute ID,Name,City,State,Score,Rank,Stream
IR-C-C-20729,"M S Ramaiah College of Arts, Science, and Commerce",Bengaluru,Karnataka,52.87,87,College
IR-C-C-11964,Scottish Church College,Kolkata,West Bengal,52.79,88,College
IR-C-C-43998,Guru Nanak College,Chennai,Tamil Nadu,52.6,89,College
IR-C-C-33555,St. Xavier`s College,Mumbai,Maharashtra,52.6,89,College
IR-C-C-11991,Bethune College,Kolkata,West Bengal,52.5,91,College
IR-C-C-11771,CMS College Kottayam,Kottayam,Kerala,52.36,92,College
IR-C-C-6381,Keshav Mahavidyalya,Delhi,Delhi,52.13,93,College
IR-C-C-41042,Dr. S. N. S. Rajalakshmi College of Arts and Science,Coimbatore,Tamil Nadu,52.08,94,College
IR-C-C-36502,Virudhunagar Hindu Nadars Senthikumara Nadar College,Virudhunagar,Tamil Nadu,52.06,95,College
IR-C-C-35848,Government Arts College,Kumbakonam,Tamil Nadu,51.92,96,College
IR-C-C-6376,Delhi College of Arts and Commerce,South West,Delhi,51.91,97,College
IR-C-C-41191,Sadakathullah Appa College,Tirunelveli,Tamil Nadu,51.9,98,College
IR-C-C-43229,Shri Shivaji Science College,Amravati,Maharashtra,51.86,99,College
IR-C-C-41189,Scott Christian College,Nagercoil,Tamil Nadu,51.84,100,College
