Institute ID,Name,City,State,Score,Rank,Stream
IR-M-U-0439,Anna University,Chennai,Tamil Nadu,48.92,69,Management
IR-M-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,48.68,70,Management
IR-M-U-0213,Alliance University,Bengaluru,Karnataka,48.38,71,Management
IR-M-S-419,"Jaipuria Institute of Management, Lucknow",Lucknow,Uttar Pradesh,48.32,72,Management
IR-M-U-0749,"Manipal University, Jaipur",Jaipur,Rajasthan,48.1,73,Management
IR-M-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,47.92,74,Management
IR-M-S-309,Jaipuria Institute of Management,Jaipur,Rajasthan,47.56,75,Management
IR-M-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,47.55,76,Management
IR-M-U-0223,"Jain University, Bangalore",Bengaluru,Karnataka,47.47,77,Management
IR-M-U-0107,Jamia Hamdard,New Delhi,Delhi,47.39,78,Management
IR-M-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,47.27,79,Management
IR-M-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,47.13,80,Management
IR-M-U-0253,Cochin University of Science and Technology,Cochin,Kerala,47.08,81,Management
IR-M-C-36557,Thiagarajar School of Management,Madurai,Tamil Nadu,47.02,82,Management
IR-M-U-0735,BML Munjal University,Gurgaon,Haryana,46.67,83,Management
IR-M-S-19472,Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),Mumbai,Maharashtra,46.53,84,Management
IR-M-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,46.47,85,Management
IR-M-U-0498,Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,46.42,86,Management
IR-M-S-782,Jagan Institute of Management Studies Technical Campus,Delhi,Delhi,46.38,87,Management
IR-M-C-32887,New Delhi Institute of Management,Delhi,Delhi,46.29,88,Management
IR-M-U-0147,Pandit Deendayal Energy University,Gandhinagar,Gujarat,45.39,89,Management
IR-M-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,45.0,90,Management
IR-M-S-14565,National Institute of Bank Management,Pune,Maharashtra,44.85,91,Management
IR-M-U-0078,Panjab University,Chandigarh,Chandigarh,44.7,92,Management
IR-M-S-164,Rajagiri Business School,Cochin,Kerala,44.33,93,Management
IR-M-N-4,Bharathidasan Institute of Management,Tiruchirappalli,Tamil Nadu,44.17,94,Management
IR-M-U-0056,Tezpur University,Tezpur,Assam,43.48,95,Management
IR-M-S-14553,National Institute of Agricultural Extension Management,Hyderabad,Telangana,43.17,96,Management
IR-M-I-1132,Institute of Management Technology,Hyderabad,Telangana,43.01,97,Management
IR-M-U-0643,Galgotias University,Gautam Budh Nagar,Uttar Pradesh,42.9,98,Management
IR-M-I-1238,Krea University,Sri City,Andhra Pradesh,42.82,99,Management
IR-M-U-0025,National Institute of Technology Warangal,Warangal,Telangana,42.63,100,Management
