Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,62.78,24,College,511956,915223,168393,1365898,3334063,1964155,0,0,0,0,0,0,3166464,339237,3469980,112652202,106210208.0,107416563.0,9912992.0,7355155.0,6905129.0,2468657.0,725666.0,418835.0,546,0,103,0,546,103,528,101,18,2,0,0,260,54,269,40,323,32,202,62,4,0,0,0
IR-C-C-35860,"St. Joseph's College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,62.73,25,College,2031980,3604739,1718101,15919163,4208831,2538543,0,0,0,0,0,0,17244039,16984087,5633117,389839198,361817609.0,296533767.0,128754832.0,107573290.0,83068431.0,5031885.0,2947240.0,1649783.0,5067,564,892,713,5631,1605,5509,1571,114,30,8,4,2261,603,3155,925,3715,236,952,420,213,129,536,743
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,62.47,26,College,436634,479342,821044,49549,294367,361075,0,0,0,0,0,0,0,0,62946,394929136,366050538.0,359598453.0,43801594.0,38437121.0,57272271.0,860924.0,790287.0,329935.0,1787,1262,0,0,3049,0,1090,0,1948,0,11,0,252,0,1379,0,74,0,894,0,0,0,663,0
IR-C-C-6387,Bhaskaracharya College of Applied Sciences,New Delhi,Delhi,61.55,27,College,114958,0,0,28600,0,995654,0,0,0,0,0,0,1484173,548556,0,300222913,230198934.0,196523946.0,21881237.0,20896594.0,19643483.0,0.0,20070.0,0.0,861,440,0,0,1301,0,575,0,718,0,8,0,181,0,631,0,33,0,172,0,4,0,603,0
IR-C-C-41157,V.O. Chidambaram College,Thoothukudi,Tamil Nadu,60.8,28,College,837554,103730,53725,1223886,2204127,2079809,0,0,0,0,0,0,10040376,6233221,14316537,215216211,188841821.0,195860957.0,7250253.0,5418536.0,7339599.0,1325569.0,106560.0,682000.0,1549,897,143,423,2446,566,2440,563,6,3,0,0,159,45,2287,521,1812,146,568,192,29,123,37,105
IR-C-C-6391,Maitreyi College,New Delhi,Delhi,59.6,29,College,1182300,977556,885424,7350989,232857,0,0,0,0,0,0,0,3881118,1750757,687823,716399920,532568523.0,512288934.0,23129009.0,16580443.0,13763255.0,8748716.0,378188.0,50112.0,0,3647,0,68,3647,68,1367,28,2275,40,5,0,189,6,1388,29,155,1,503,6,108,0,811,28
IR-C-C-43931,Stella Maris College for Women,Chennai,Tamil Nadu,59.51,30,College,2938431,2037030,1510078,1269531,3499990,2426145,0,0,0,0,0,0,22863475,15945852,16267950,313034358,356203026.0,264781162.0,29571629.0,27832972.0,22661217.0,1792002.0,143631.0,359052.0,0,5058,0,828,5058,828,3844,589,1194,235,20,4,902,201,3124,459,2027,9,594,78,92,14,1313,559
IR-C-C-6429,Gargi College,Delhi,Delhi,59.28,31,College,956052,788883,709522,1679449,1733471,55814,0,0,0,0,0,0,2270115,1608057,100358,714774451,630030620.0,665671006.0,49362675.0,31140540.0,33458524.0,951419.0,819836.0,418693.0,0,5187,0,104,5187,104,1472,20,3707,83,8,1,1551,28,2323,55,152,1,271,2,28,2,3423,78
IR-C-C-19103,Midnapore College,Midnapore,West Bengal,58.91,32,College,472064,153310,16650,4153920,6483465,2977944,0,0,0,0,0,0,1889741,1601741,1127488,231327286,224015843.0,217152636.0,38634201.0,27875115.0,22992024.0,1298928.0,1109762.0,679546.0,2205,2197,452,630,4402,1082,4384,1078,18,4,0,0,2157,330,1717,346,2481,602,1335,72,58,2,0,0
IR-C-C-35825,Bishop Heber College,Tiruchirappalli,Tamil Nadu,58.61,33,College,1197782,1108699,563686,26275028,2529486,234466,0,0,0,0,0,0,43621291,21222988,7887273,454816908,383772811.0,340911783.0,258949139.0,173228923.0,134529786.0,4157930.0,3074781.0,1061932.0,5979,4078,1187,1349,10057,2536,9943,2479,113,55,1,2,513,106,9464,2413,1947,121,210,344,13,11,7807,2043
