Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-O-U-0391,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,60.87,23,Overall,12267892,122239989,113871031,685633400,412301879,370019485,23591679,27492623,25565901,0,0,0,159091114,213137853,128717098,3907433004,3364082527.0,2805947978.0,3392940317.0,1968054741.0,1659180192.0,17778839.0,1515635.0,2913582.0,10842,1881,1331,499,12723,1830,2575,312,9686,1518,462,0,1532,769,676,313,1,0,9,0,0,0,2198,1082
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,60.73,24,Overall,98226181,55835036,67415175,1851842747,1622482202,1084174679,174024324,152894711,103604822,106162311,73157406,52241901,309763734,252141834,173065541,3533497705,3204269144.0,2787782867.0,3997169417.0,3391429539.0,2908065011.0,71280074.0,42698311.0,41579301.0,6251,8547,983,1358,14798,2341,2533,455,12040,1863,225,23,1140,157,2023,285,8,2,1338,131,0,0,1817,309
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,60.55,25,Overall,102482928,29996240,66718482,0,0,0,0,0,0,0,0,0,0,0,0,1717563898,1806287335.0,1835296251.0,766091697.0,65380826.0,69611172.0,13300000.0,334892.0,242850.0,0,0,1534,1181,0,2715,0,632,0,2044,0,39,0,296,0,1563,0,139,0,0,0,0,0,1720
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,60.25,26,Overall,5555366,6673450,142328767,21262211,1899935,602539821,134942,98464460,118356873,0,0,0,99542741,866493,300729185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335,885,4634,6428,2220,11062,2059,10940,159,117,2,5,344,5836,514,5171,99,3932,0,3423,0,0,759,3652
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,60.13,27,Overall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4951891949,3775014302.0,3508510129.0,1741064402.0,1081196991.0,1249565398.0,23830215.0,22738869.0,10712048.0,0,0,495,313,0,808,0,261,0,547,0,0,0,16,0,230,0,108,0,0,0,0,0,138
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,59.94,28,Overall,209533647,192329314,173546338,833425376,480509828,482187322,169214183,102664704,0,12467581,0,0,712872565,380071240,512817605,4492406967,2938470643.0,2928127124.0,0.0,0.0,0.0,0.0,0.0,0.0,11694,10065,1213,1512,21759,2725,1695,382,19420,2208,644,135,2047,109,4430,858,130,32,3961,726,176,118,2210,91
IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,58.77,29,Overall,31339902,25595838,35908286,216414304,362655942,309598036,1787382,9813209,1881337,934063,910237,1104028,13052790,16597999,10102405,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780,192,279,155,972,434,145,33,823,382,4,19,55,44,487,193,231,82,151,85,8,0,152,70
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,58.69,30,Overall,90573233,83885967,71962850,301637795,147678327,130379048,15429016,26504291,6874261,0,2691003,2099718,151940732,82909537,83421197,2087636535,1727284473.0,1628336785.0,1636481738.0,1335296684.0,1053500729.0,23570324.0,6624328.0,6996396.0,4941,1166,694,134,6107,828,1503,197,4600,622,4,9,1385,219,2741,514,917,10,2970,723,239,0,0,0
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,58.6,31,Overall,1178898,3296375,5920996,130306156,306156312,140140871,100000,500000,2000000,0,675000,0,400294723,426347711,359440527,1453779361,1463451612.0,1318550463.0,1166316999.0,984356624.0,1126130417.0,4145050.0,11207208.0,323806.0,3541,1049,1479,427,4590,1906,2018,203,2450,1700,122,3,572,283,2376,1083,75,5,2318,923,36,30,519,408
IR-O-U-0747,Chandigarh University,Mohali,Punjab,58.3,32,Overall,56922211,53420242,46772411,329009330,337516188,295328290,9443035,9836097,9601982,220450,371250,350236,746652549,702366808,618981781,2633158370,2550029710.0,2168376656.0,0.0,0.0,0.0,0.0,0.0,0.0,13144,13092,1944,2987,26236,4931,1936,569,21193,3834,3107,528,3492,474,4645,966,1559,295,4866,523,0,0,1712,622
