Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-G-C-45375,"National Institute of Food Technology, Entrepreneurship and Management",Thanjavur,Tamil Nadu,56.8,12,Agriculture,843128,1618766,1530826,25473026,76805585,37797418,0,0,0,0,0,0,10251029,5536446,6974303,141182356,134244271.0,129831897.0,74234843.0,54224384.0,52022946.0,7995452.0,966610.0,2120821.0,149,104,15,42,253,57,165,25,88,32,0,0,24,2,201,28,12,0,78,8,0,0,135,22
IR-G-U-0568,Bidhan Chandra Krishi Vishwavidyalaya,Nadia,West Bengal,56.67,13,Agriculture,620120,550250,407539,3585725,2713525,4351000,0,0,0,0,0,0,109318020,75013125,50188000,1527796000,1577957000.0,1427186000.0,128513840.0,143819250.0,107291000.0,1485000.0,482000.0,580000.0,674,377,265,121,1051,386,1008,372,42,14,1,0,0,0,454,159,0,0,0,0,0,0,454,159
IR-G-U-0048,Assam Agricultural University,Jorhat,Assam,55.67,14,Agriculture,231400,66838,4093391,70345012,146886904,133194153,0,0,0,0,0,0,262526665,163712334,101095004,3727912564,3674174172.0,3724685943.0,703798109.0,1010139434.0,1008224729.0,39376680.0,45020318.0,8706780.0,1115,1079,227,312,2194,539,1668,423,518,112,8,4,223,47,801,180,0,0,90,170,0,0,934,57
IR-G-U-0360,Odisha University of Agriculture and Technology,Khordha,Odisha,55.65,15,Agriculture,2478902,4299300,4752823,27947743,6997000,4044653,0,0,0,0,0,0,10544210,755000,273000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364,1542,333,372,2906,705,2787,594,117,111,2,0,562,235,769,144,531,275,543,89,1,0,256,15
IR-G-U-0257,Kerala Agricultural University,Thrissur,Kerala,55.3,16,Agriculture,3108875,6594040,4584703,5617163,7554894,3532338,0,0,0,0,0,0,159903891,193820795,45689007,4303438678,4329403640.0,3346748031.0,1088009608.0,990371743.0,881650853.0,7846374.0,3354358.0,2217513.0,619,1965,149,379,2584,528,2463,391,121,137,0,0,212,27,1741,314,1174,233,0,11,1,0,778,97
IR-G-U-0487,Tamil Nadu Veterinary and Animal Sciences University,Chennai,Tamil Nadu,55.19,17,Agriculture,16495407,11498000,14284000,73159562,10580093,131151306,0,0,0,0,0,0,92991493,16795729,13316818,2174930063,1769514059.0,1687169415.0,0.0,0.0,0.0,0.0,0.0,0.0,1175,1510,90,80,2685,170,2431,116,247,54,7,0,0,0,2502,117,1066,111,0,0,7,0,1429,6
IR-G-U-0181,Dr. Y.S. Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,54.67,18,Agriculture,2286969,1108723,852230,9147877,18721178,16110978,0,0,0,0,0,0,24078325,18249070,13631715,1365118001,1385859157.0,1340235102.0,6857981.0,7193040.0,7307090.0,12868602.0,21729944.0,6970542.0,780,1156,210,319,1936,529,1877,496,59,32,0,1,45,13,411,48,0,0,6,0,0,0,450,61
IR-G-U-0179,Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Kangra,Himachal Pradesh,54.55,19,Agriculture,503050,3130000,1720000,1978746,38250000,48056400,0,0,0,0,0,0,11852050,12150000,19800250,1815025000,1680431921.0,1645557944.0,12739725.0,31647416.0,38068000.0,2818654.0,6258430.0,5385600.0,315,489,129,205,804,334,733,264,71,69,0,1,52,22,164,100,12,52,10,25,0,10,194,35
IR-G-U-0199,Sher-e-Kashmir University of Agricultural Science and Technology of Jammu,Jammu,Jammu and Kashmir,53.91,20,Agriculture,4143021,3545339,1050340,28640209,47005000,29269065,0,0,0,0,0,0,0,0,0,1087377000,957307000.0,944068000.0,39965561.0,49726000.0,45357000.0,4755727.0,3123349.0,203064.0,422,454,125,178,876,303,709,201,167,102,0,0,29,5,369,62,398,67,0,0,0,0,0,0
IR-G-S-8898,"National Institute of Food Technology, Enterprenurship and Management",Sonipat,Haryana,52.37,21,Agriculture,13738970,17985628,29228004,56498236,17109438,28184553,0,0,0,0,0,0,33527506,15390706,51037025,222870401,168743836.0,150159788.0,115665242.0,102819202.0,96244939.0,8677781.0,349295.0,50111272.0,430,146,113,71,576,184,49,6,527,178,0,0,65,11,245,83,40,13,163,58,0,0,107,23
IR-G-U-0379,Lovely Professional University,Phagwara,Punjab,51.01,22,Agriculture,7261358,3217205,2112004,4227974,1511789,5146015,0,0,0,0,0,0,8810530,3596198,1798083,182446891,135607490.0,135045214.0,260479570.0,86822525.0,27254635.0,104000.0,283634.0,22000.0,1861,806,316,189,2667,505,46,21,2589,474,32,10,576,233,549,44,40,18,479,97,0,0,606,162
IR-G-U-0123,Anand Agricultural University,Anand,Gujarat,50.69,23,Agriculture,5755000,5652867,3960971,18932470,18168386,14299033,0,0,0,0,0,0,34555000,4056025,5300000,2358061760,1801042435.0,1934046456.0,711609864.0,691882930.0,560443997.0,16421744.0,15329980.0,11481591.0,1119,591,199,113,1710,312,1557,251,152,58,1,3,172,38,715,106,591,113,0,0,0,0,296,31
IR-G-U-0246,University of Agricultural Sciences,Dharwad,Karnataka,50.52,24,Agriculture,4628655,4255296,3843845,44807160,722695,5571448,0,0,0,0,0,0,17463131,36554150,16887725,1348681921,1027590531.0,1406806735.0,411156432.0,376534259.0,363381338.0,3278464.0,4333345.0,3136446.0,1381,1105,204,256,2486,460,2323,437,161,23,2,0,0,0,2276,421,1642,313,0,0,0,0,634,108
IR-G-U-0375,Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana,Punjab,50.52,24,Agriculture,1385925,7933851,2211162,25633192,38947176,24478300,0,0,0,0,0,0,144875086,320437770,388777628,0,0.0,0.0,12699698.0,13765788.0,23618717.0,1096000.0,1038971.0,150358.0,446,338,138,139,784,277,600,191,130,86,54,0,27,3,177,41,32,1,12,0,0,0,160,43
IR-G-U-0004,Acharya N G Ranga Agricultural University,Guntur,Andhra Pradesh,50.24,26,Agriculture,2647539,5572022,7682492,8769077,16128120,32770805,0,0,0,0,0,0,12512019,22932741,116618632,3991700000,4088931316.0,3738266880.0,675885668.0,608228522.0,518244563.0,4407244.0,2211021.0,230000.0,1607,2867,116,215,4474,331,4228,292,246,39,0,0,423,4,2910,279,2760,249,0,0,0,1,573,33
IR-G-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,49.92,27,Agriculture,729396,658951,5332,1529940,1492738,422263,0,0,0,0,0,0,1956900,1931445,9801,635187313,576478423.0,570904677.0,46520850.0,45740757.0,86340551.0,853920.0,827302.0,49819.0,1643,1500,229,186,3143,415,3141,400,2,15,0,0,0,0,3141,400,597,76,0,0,0,0,2544,324
IR-G-U-0591,West Bengal University of Animal and Fishery Sciences,Kolkata,West Bengal,48.3,28,Agriculture,1500000,1800000,2500000,4083225,5400000,1100000,0,0,0,0,0,0,13016430,4657000,10025000,506953855,758750000.0,699681000.0,113622924.0,135418000.0,100075000.0,2500000.0,3000000.0,2000000.0,563,172,214,55,735,269,670,213,65,56,0,0,0,0,420,126,0,0,0,0,0,0,420,126
IR-G-U-0075,Dr Rajendra Prasad Central Agricultural University,Samastipur,Bihar,47.94,29,Agriculture,3968832,13294155,10386803,25183931,7732955,5218211,0,0,0,0,0,0,65942057,56242090,34872708,1510000000,1270000000.0,1015100000.0,445700000.0,387983229.0,309889021.0,12458314.0,3155367.0,945334.0,668,442,272,204,1110,476,533,89,577,387,0,0,127,63,661,304,788,351,0,0,0,0,0,16
IR-G-U-0259,Kerala University of Fisheries and Ocean Studies,Kochi,Kerala,47.84,30,Agriculture,1282321,3317187,2342433,23320868,51954273,6657642,0,0,0,0,0,0,1647601,2999259,4417420,158365432,98940089.0,59024147.0,12724243.0,8800599.0,7792643.0,7433384.0,726779.0,329684.0,88,225,39,76,313,115,299,96,14,19,0,0,12,5,190,62,154,59,0,0,0,0,48,8
IR-G-U-0336,Central Agricultural University,Imphal West,Manipur,47.53,31,Agriculture,11556000,2399515,3152505,33281000,20449808,15492951,0,0,0,0,0,0,111851000,19887830,13667307,0,0.0,0.0,249426000.0,227637956.0,197910244.0,11540000.0,4416376.0,294459.0,809,1157,231,258,1966,489,1805,199,161,290,0,0,19,7,1820,254,1682,90,62,171,0,0,95,0
IR-G-U-0665,Tamil Nadu Dr.J.Jayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,46.46,32,Agriculture,894800,607486,732500,44713942,26355543,20602263,0,0,0,0,0,0,14927427,830000,550000,370081400,300083518.0,257547802.0,66829961.0,49096190.0,48933178.0,2629861.0,1840757.0,96550.0,262,365,35,43,627,78,606,67,21,11,0,0,435,71,188,7,433,71,0,0,2,0,188,7
IR-G-U-0039,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,46.41,33,Agriculture,446000,1000000,1519842,467284,1780461,6385933,0,0,0,0,0,0,42913771,25224820,11151620,1087792612,803179529.0,892679108.0,369558021.0,430556323.0,262923031.0,127625.0,1750000.0,1753680.0,800,1020,105,112,1820,217,1550,150,270,67,0,0,250,30,1350,180,1465,165,0,0,0,0,135,45
IR-G-U-0165,Lala lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,46.17,34,Agriculture,497651,123670,1033325,37271574,21414235,41044229,0,0,0,0,0,0,6806324,13462260,22970065,1028448402,1004109679.0,884974629.0,0.0,0.0,0.0,0.0,0.0,0.0,347,151,96,53,498,149,422,134,74,15,2,0,42,8,204,50,36,0,111,0,0,0,99,58
IR-G-U-0145,Navsari Agricultural University,Navsari,Gujarat,45.9,35,Agriculture,5944408,7633232,2694766,72539151,20684982,72512056,0,0,0,0,0,0,8931970,64389897,55484110,10943134365,868245427.0,968093113.0,387877290.0,480696389.0,398171178.0,3635125.0,906661.0,58636.0,1184,778,208,195,1962,403,1657,300,305,102,0,1,275,57,866,125,922,155,51,8,0,5,168,14
IR-G-U-0060,Bihar Agriculture University,Bhagalpur,Bihar,45.69,36,Agriculture,13565926,7353958,2705445,82126401,12918666,5248622,0,0,0,0,0,0,49912841,8735721,1434734,1892414506,714949821.0,284979772.0,163960586.0,449473116.0,49500683.0,11980557.0,150000.0,0.0,869,539,110,86,1408,196,1369,178,39,18,0,0,105,15,1057,155,1057,155,0,0,0,0,105,15
IR-G-U-0784,Professor Jayashankar Telangana State Agricultural University,Hyderabad,Telangana,44.73,37,Agriculture,5965848,14069400,9285157,28712960,32779835,22215630,0,0,0,0,0,0,19378654,4970000,1551536,3027856235,3223775296.0,3462216720.0,175075577.0,115862358.0,103984791.0,19747068.0,14452689.0,5272347.0,1133,2074,104,224,3207,328,2961,219,245,106,1,3,192,37,1627,253,1815,18,0,43,4,0,0,229
IR-G-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,44.63,38,Agriculture,3504722,2985041,3062509,5129443,3888905,10928369,0,0,0,0,0,0,1978206,2210697,2179408,60258111,59148447.0,58357999.0,24701873.0,20963178.0,13527064.0,430000.0,262400.0,1150000.0,221,259,0,0,480,0,85,0,315,0,80,0,56,0,416,0,11,0,382,0,14,0,65,0
IR-G-U-0087,Indira Gandhi Krishi Vishwavidyalaya,Raipur,Chhattisgarh,44.14,39,Agriculture,496555,479751,488923,142815463,44204637,3330237,0,0,0,0,0,0,60700000,52328000,39732100,1562208013,1449765295.0,1392305788.0,207184712.0,170579422.0,168614813.0,4232077.0,1685710.0,2621631.0,4380,2713,649,640,7093,1289,6801,1052,292,237,0,0,339,68,5765,947,5994,983,0,0,0,10,110,22
IR-G-U-0587,Uttar Banga Krishi Vishwavidyalaya,Cooch Behar,West Bengal,44.05,40,Agriculture,100000,4067000,1660000,61008000,37869000,39448000,0,0,0,0,0,0,9974000,2347000,2556000,578300000,472300000.0,434700000.0,72711500.0,63849000.0,42122000.0,8011000.0,2388000.0,2782000.0,487,180,0,0,667,0,662,0,5,0,0,0,0,0,355,0,0,0,3,0,0,0,352,0
