Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,64.4,14,Management,27563478,50243840,24639852,0,0,0,0,0,0,0,0,0,0,0,0,137128230,131562476,102994813,395258086,250858561,274284018,7170974,3448423,270529,0,0,262,318,0,580,0,13,0,567,0,0,0,57,0,301,0,138,0,0,0,0,0,220
IR-M-U-0102,Indian Institute of Foreign Trade,New Delhi,Delhi,62.36,15,Management,52075006,31700159,28751068,0,0,0,0,0,0,0,0,0,0,0,0,624779807,451804688,428870209,619808016,203876475,207832986,191888605,82165883,53482089,0,0,577,259,0,836,0,69,0,766,0,1,0,101,0,306,0,9,0,84,0,1,0,313
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,61.73,16,Management,25643973,12499609,11123642,0,0,0,0,0,0,0,0,0,0,0,0,158208603,126407964,110795018,201203214,48583641,45051312,4455927,367382,4000,0,0,104,48,0,152,0,61,0,91,0,0,0,62,0,69,0,0,0,123,0,1,0,7
IR-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,61.27,17,Management,46896257,39198878,29478550,0,0,0,0,0,0,0,0,0,0,0,0,211380699,171203752,140808378,163773669,119377501,93832531,6818525,984378,1232240,0,0,571,293,0,864,0,72,0,792,0,0,0,104,0,424,0,33,0,0,0,1,0,494
IR-M-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,61.21,18,Management,4328797,7617590,4067934,0,0,0,0,0,0,0,0,0,0,0,0,96152347,87826026,79202941,39534254,34394565,24186928,2045396,850404,330508,0,0,162,17,0,179,0,4,0,165,0,10,0,11,0,84,0,2,0,37,0,0,0,56
IR-M-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,61.03,19,Management,9362251,6926084,8214954,0,0,0,0,0,0,0,0,0,0,0,0,260396351,232416246,206020191,90599290,118646639,113038113,2449534,856213,1008980,0,0,302,47,0,349,0,53,0,293,0,3,0,15,0,150,0,51,0,0,0,0,0,114
IR-M-I-1044,S. P. Jain Institute of Management and Research,Mumbai,Maharashtra,60.97,20,Management,79553645,68793115,44540881,0,0,0,0,0,0,0,0,0,0,0,0,519715168,454638670,403110173,116919767,78332267,73803000,47569461,19460104,14610383,0,0,380,152,0,532,0,93,0,438,0,1,0,154,0,8,0,0,0,32,0,6,0,124
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,60.96,21,Management,19699144,18987243,19038194,0,0,0,0,0,0,0,0,0,0,0,0,291052420,237536638,176716013,203384700,257900408,212421159,5930451,3457789,2357486,0,0,582,558,0,1140,0,147,0,993,0,0,0,96,0,20,0,0,0,15,0,49,0,52
IR-M-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,60.93,22,Management,57552450,26200120,25298851,0,0,0,0,0,0,0,0,0,0,0,0,326145868,273893107,219034266,455563570,345698239,278383158,5690750,390136,73039,0,0,412,221,0,633,0,50,0,583,0,0,0,66,0,326,0,28,0,9,0,0,0,355
IR-M-S-8967,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,60.82,23,Management,28955958,27576471,18370239,0,0,0,0,0,0,0,0,0,0,0,0,186295940,170766190,139481235,317167448,266444018,237884625,15304173,2145107,2577270,0,0,425,234,0,659,0,20,0,639,0,0,0,67,0,326,0,46,0,62,0,0,0,285
