Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-A-U-0626,School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,61.75,12,Architecture,7741662,8225170,5100811,5111700,740303,173418,0,0,0,6463160,0,0,1530629,574192,282700,184988085,163566260.0,158111094.0,131428534.0,88554414.0,6279528.0,1694913.0,1104905.0,91972.0,264,338,97,144,602,241,36,39,552,202,14,0,57,11,313,111,32,18,133,87,2,0,203,17
IR-A-U-0747,Chandigarh University,Mohali,Punjab,61.47,13,Architecture,3334510,3140250,2962500,6312540,6270514,5915580,0,0,0,220450,0,0,22689500,21545608,20326046,48482139,51714282.0,48331103.0,7774013.0,52387146.0,49627947.0,2270938.0,2083430.0,1965500.0,179,213,9,11,392,20,32,6,357,14,3,0,0,0,6,0,0,0,6,0,0,0,0,0
IR-A-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,61.01,14,Architecture,1107925,669089,149036,399932,209635,300000,0,0,0,819300,0,95094,140110,38372,99725,27648525,24946895.0,22498252.0,211099.0,350000.0,350000.0,103237.0,0.0,0.0,64,46,22,7,110,29,93,29,17,0,0,0,20,6,28,3,9,7,2,0,0,0,37,2
IR-A-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,60.79,15,Architecture,2998641,2374258,2463259,580000,350000,0,0,0,0,492000,0,0,3480000,0,0,56253494,50042201.0,44199310.0,550000.0,350000.0,250000.0,300000.0,363450.0,0.0,178,174,26,22,352,48,149,11,202,37,1,0,7,3,180,19,1,0,125,10,0,0,61,12
IR-A-U-0627,School of Planning and Architecture Vijayawada,Vijayawada,Andhra Pradesh,60.4,16,Architecture,697132,2162488,6617057,4506800,3694923,3003262,0,0,0,1749918,3074539,0,45510166,2199675,65557429,133705741,128257614.0,125288827.0,102418921.0,91526665.0,79946206.0,2061342.0,3524869.0,3448412.0,301,278,110,179,579,289,115,29,434,260,30,0,44,10,261,131,67,2,0,117,0,0,238,22
IR-A-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,60.39,17,Architecture,2203690,6434727,3821400,2152288,2090185,4407370,0,0,0,857688,1567728,935000,12708928,23014269,4922170,127547346,119287464.0,82503309.0,74584943.0,20210825.0,20163770.0,1271834.0,437699.0,483670.0,343,291,30,25,634,55,302,19,326,36,6,0,111,9,343,23,81,0,354,8,0,0,19,24
IR-A-C-43708,"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,58.4,18,Architecture,1390830,366160,146000,937180,464015,135147,0,0,0,249058,70328,28444,1004078,993951,46200,49439368,44944880.0,30165414.0,1889554.0,326200.0,92450.0,760069.0,459669.0,140000.0,53,151,34,74,204,108,175,97,13,7,16,4,49,32,88,40,80,54,0,0,45,6,12,12
IR-A-U-0146,Nirma University,Ahmedabad,Gujarat,57.69,19,Architecture,980831,1297929,1082287,0,294537,254686,0,0,0,0,0,0,10754644,5742371,5167712,52195673,53498690.0,58909964.0,22095959.0,11687282.0,36444937.0,537386.0,512700.0,392129.0,163,252,0,0,415,0,300,0,102,0,13,0,25,0,77,0,9,0,34,0,0,0,59,0
IR-A-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,57.21,20,Architecture,624993,563282,59234,3085325,1190,0,0,0,0,0,0,229341,501557,243600,120519,46025333,38065930.0,35716683.0,13673205.0,10679077.0,7373005.0,115708.0,69080.0,0.0,71,93,15,10,164,25,84,7,80,18,0,0,31,5,46,5,10,1,3,0,0,0,64,9
IR-A-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,57.01,21,Architecture,1126155,1144000,865781,1911903,1261066,1030140,0,0,0,227303,180066,107860,1452320,1872832,1335914,41340033,38483900.0,39608903.0,20005256.0,1987000.0,19338285.0,1033038.0,486243.0,314000.0,140,247,4,19,387,23,280,20,107,3,0,0,10,2,49,13,47,3,0,0,0,0,12,12
