Institute ID,Name,City,State,Score,Rank,Stream,Library_2022-23,Library_2021-22,Library_2020-21,New Equipment for Laboratories_2022-23,New Equipment for Laboratories_2021-22,New Equipment for Laboratories_2020-21,Engineering Workshops_2022-23,Engineering Workshops_2021-22,Engineering Workshops_2020-21,Studios_2022-23,Studios_2021-22,Studios_2020-21,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2022-23,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2021-22,Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building)_2020-21,Salaries (Teaching and Non Teaching staff)_2022-23,Salaries (Teaching and Non Teaching staff)_2021-22,Salaries (Teaching and Non Teaching staff)_2020-21,"Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2022-23","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2021-22","Maintenance of Academic Infrastructure or consumables and other running expenditures(excluding maintenance of hostels and allied services,rent of the building, depreciation cost, etc)_2020-21",Seminars/Conferences/Workshops_2022-23,Seminars/Conferences/Workshops_2021-22,Seminars/Conferences/Workshops_2020-21,Total Male UG,Total Female UG,Total Male PG,Total Female PG,Total Strength UG,Total Strength PG,Total Same State Strength UG,Total Same State Strength PG,Total Different State Strength UG,Total Different State Strength PG,Total Different Country Strength UG,Total Different Country Strength PG,Total Economically Backward Strength UG,Total Economically Backward Strength PG,Total Socially Challenged Strength UG,Total Socially Challenged Strength PG,Total Tuition Fee Reimbursed from govt UG,Total Tuition Fee Reimbursed from govt PG,Total Tuition Fee Reimbursed from Institute Funds UG,Total Tuition Fee Reimbursed from Institute Funds PG,Total Tuition Fee Reimbursed from Private Bodies UG,Total Tuition Fee Reimbursed from Private Bodies PG,Students who are not receiving full tuition fee reimbursement UG,Students who are not receiving full tuition fee reimbursement PG
IR-L-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,63.54,12,Law,1446791,723189,1040996,137500,18900,0,0,0,0,0,0,0,1368450,749190,1067567,110341205,94630208.0,81941486.0,2373443.0,971100.0,1213250.0,569000.0,250000.0,425000.0,730,465,31,39,1195,70,594,49,599,21,2,0,201,23,202,4,135,18,5,5,75,4,188,0
IR-L-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,61.58,13,Law,2895216,2518447,2331895,3758496,0,0,0,0,0,0,0,0,6470573,0,0,90398405,72318724.0,50690483.0,86079525.0,61251802.0,64929528.0,467385.0,580861.0,696551.0,436,622,14,16,1058,30,516,12,537,18,5,0,199,4,383,10,6,0,267,3,133,7,176,4
IR-L-U-0476,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,60.65,14,Law,13869802,8361267,8306007,0,7500000,291847,0,0,0,0,0,0,100866093,106020673,77248209,40881959,35122070.0,35947443.0,43289857.0,34542030.0,27122205.0,29687769.0,4543181.0,1470176.0,248,480,0,0,728,0,539,0,189,0,0,0,243,0,122,0,0,0,32,0,4,0,329,0
IR-L-U-0217,Christ University,Bengaluru,Karnataka,59.39,15,Law,14639400,14381550,9231512,4358720,4222381,5080842,0,0,0,0,0,0,17363480,19314794,11004776,124877863,112910187.0,84471759.0,19352730.0,18865743.0,16766226.0,2806835.0,289818.0,156839.0,1199,1114,52,95,2313,147,695,28,1608,119,10,0,557,44,233,25,14,3,588,31,2,0,186,35
IR-L-C-23907,Dr. B. R. Ambedkar College of Law,Visakhapatnam,Andhra Pradesh,58.75,16,Law,10525350,9516750,5019360,2400000,1815000,1534700,0,0,0,0,0,0,34200000,31500000,21700000,29800000,19269385.0,16755987.0,0.0,0.0,0.0,0.0,0.0,0.0,217,183,16,17,400,33,337,26,61,7,2,0,30,4,278,19,153,14,37,3,23,2,95,4
IR-L-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,58.68,17,Law,1326590,1324261,1284114,432780,85296,61073,0,0,0,0,0,0,1842484,97155,31512,67734700,52480274.0,47709340.0,12438720.0,12359653.0,11101091.0,1925247.0,1445632.0,411123.0,334,258,16,26,592,42,478,24,110,16,4,2,3,3,227,10,0,0,6,2,0,0,224,11
IR-L-U-0213,Alliance University,Bengaluru,Karnataka,56.72,18,Law,10356273,7236000,8756400,6126462,2292000,4629500,0,0,0,0,0,0,10556216,472000,10856100,221551610,203241000.0,107426510.0,0.0,0.0,0.0,0.0,0.0,0.0,384,464,11,25,848,36,115,6,727,30,6,0,0,0,253,19,0,0,86,0,0,0,167,19
IR-L-U-0379,Lovely Professional University,Phagwara,Punjab,56.71,19,Law,1792928,2716043,1632680,3036996,1350859,3512745,0,0,0,0,0,0,16629875,26780603,29159539,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246,300,1,5,546,6,118,3,358,3,70,0,146,3,61,0,6,0,113,1,0,0,88,2
IR-L-U-0511,Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,55.92,20,Law,6511951,3507291,5021547,9551510,0,0,0,0,0,0,0,0,177926,2804233,69559,97581535,93000070.0,83295165.0,145468874.0,85907237.0,79782219.0,3312509.0,56432.0,16034.0,512,383,18,9,895,27,655,26,240,1,0,0,27,2,395,13,70,2,0,0,10,0,342,13
IR-L-U-0285,"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,55.64,21,Law,2186608,3799191,2554272,14999476,14616729,5780475,0,0,0,0,0,0,20298800,10563129,16500288,104800653,81805425.0,76672351.0,0.0,0.0,0.0,0.0,0.0,0.0,345,324,103,74,669,177,325,118,344,59,0,0,28,10,242,68,130,28,10,4,0,0,130,46
