Institute ID,Name,City,State,Score,Rank,Stream
IR-O-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,50.41,82,Overall
IR-O-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,49.94,83,Overall
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,49.59,84,Overall
IR-O-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,49.52,85,Overall
IR-O-U-0235,Mysore University,Mysuru,Karnataka,49.45,86,Overall
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,49.4,87,Overall
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,48.98,88,Overall
IR-O-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,48.95,89,Overall
IR-O-U-0217,Christ University,Bengaluru,Karnataka,48.66,90,Overall
IR-O-U-0446,Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,48.64,91,Overall
IR-O-U-0055,National Institute of Technology Silchar,Silchar,Assam,48.55,92,Overall
IR-O-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,48.29,93,Overall
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,48.16,94,Overall
IR-O-U-0642,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,48.12,95,Overall
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,48.1,96,Overall
IR-O-U-0003,Acharya Nagarjuna University,Guntur,Andhra Pradesh,47.73,97,Overall
IR-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,47.56,98,Overall
IR-O-U-0686,All India Institute of Medical Sciences Patna,Patna,Bihar,47.55,99,Overall
IR-O-U-0470,Periyar University,Salem,Tamil Nadu,47.43,100,Overall
