,year,stream,inst_id,inst_name,city,state,score,rank,total_duration_UG,total_duration_PG,total_n_male_UG,total_n_male_PG,total_n_female_UG,total_n_female_PG,total_total_strength_UG,total_total_strength_PG,total_same_state_strength_UG,total_same_state_strength_PG,total_other_state_strength_UG,total_other_state_strength_PG,total_other_country_strength_UG,total_other_country_strength_PG,total_econ_backward_UG,total_econ_backward_PG,total_social_backward_UG,total_social_backward_PG,total_tuit_reimb_govt_UG,total_tuit_reimb_govt_PG,total_tuit_reimb_inst_UG,total_tuit_reimb_inst_PG,total_tuit_reimb_prvt_UG,total_tuit_reimb_prvt_PG,total_no_tuit_reimb_UG,total_no_tuit_reimb_PG,total_cap_exp_2020_21_lib,total_cap_exp_2020_21_equip,total_cap_exp_2020_21_asset,total_cap_exp_2020_21_workshop,total_cap_exp_2019_20_lib,total_cap_exp_2019_20_equip,total_cap_exp_2019_20_asset,total_cap_exp_2019_20_workshop,total_cap_exp_2018_19_lib,total_cap_exp_2018_19_equip,total_cap_exp_2018_19_asset,total_cap_exp_2018_19_workshop,total_op_exp_2020_21_maint,total_op_exp_2020_21_salary,total_op_exp_2020_21_seminar,total_op_exp_2019_20_maint,total_op_exp_2019_20_salary,total_op_exp_2019_20_seminar,total_op_exp_2018_19_maint,total_op_exp_2018_19_salary,total_op_exp_2018_19_seminar
208,2022.0,Medical,IR-D-C-40345,M. S. Ramaiah Medical College,Bengaluru,Karnataka,50.7,38,5.0,5.0,326.0,125.0,424.0,180.0,750.0,305.0,514.0,207.0,215.0,98.0,21.0,0.0,51.0,34.0,148.0,46.0,85.0,17.0,0.0,0.0,0.0,0.0,114.0,63.0,13136127.0,250420430.0,8039710.0,0.0,12956818.0,77080220.0,28911548.0,0.0,13060222.0,55774628.0,58065010.0,0.0,1559451300.0,1965369500.0,10353798.0,1377717200.0,2006477400.0,17454844.0,1281164300.0,1635089500.0,13409779.0
209,2022.0,Medical,IR-D-C-40453,St. John's Medical College,Bengaluru,Karnataka,58.49,14,5.0,5.0,271.0,106.0,478.0,257.0,749.0,363.0,184.0,97.0,565.0,266.0,0.0,0.0,0.0,0.0,154.0,81.0,0.0,0.0,5.0,0.0,0.0,0.0,149.0,81.0,15173969.0,20080528.0,448046530.0,0.0,10934251.0,16606253.0,254928590.0,0.0,12860421.0,14131289.0,305363740.0,0.0,1673043100.0,1883162100.0,43788430.0,1694134100.0,2005929500.0,37253920.0,1548932600.0,1728670800.0,31734452.0
210,2022.0,Medical,IR-D-C-45515,"PSG Institute of Medical Sciences & Research, Coimbatore",Coimbatore,Tamil Nadu,52.44,35,5.0,5.0,374.0,65.0,476.0,108.0,850.0,173.0,570.0,130.0,230.0,41.0,50.0,2.0,36.0,0.0,113.0,24.0,42.0,0.0,0.0,0.0,0.0,0.0,107.0,24.0,53084920.0,189002880.0,91817976.0,0.0,29650360.0,269558370.0,295632420.0,0.0,25122508.0,191845220.0,45710620.0,0.0,867191200.0,1112245200.0,968523.0,806233900.0,1047962750.0,2220962.0,1648728800.0,919364740.0,1723741.0
211,2022.0,Medical,IR-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,72.84,3,5.0,5.0,140.0,212.0,165.0,329.0,305.0,541.0,109.0,260.0,196.0,281.0,0.0,0.0,0.0,0.0,121.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,238.0,35263884.0,51914664.0,399967170.0,0.0,79252310.0,25858524.0,225150350.0,0.0,53982490.0,28638742.0,600194050.0,0.0,6606533600.0,6593932000.0,8057205.0,7654717000.0,6062871000.0,72299420.0,6378601000.0,5504546000.0,59761740.0
212,2022.0,Medical,IR-D-C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,48.05,47,5.0,3.0,598.0,161.0,652.0,177.0,1250.0,338.0,101.0,11.0,1147.0,325.0,2.0,2.0,17.0,60.0,821.0,166.0,27.0,18.0,149.0,61.0,354.0,90.0,308.0,57.0,26594280.0,72306610.0,61906336.0,0.0,22852572.0,57292356.0,61335216.0,0.0,27902804.0,100731080.0,37776336.0,0.0,1334793900.0,1058422400.0,9238570.0,965722300.0,777784770.0,9446356.0,898582460.0,668090560.0,18769906.0
213,2022.0,Medical,IR-D-C-49008,"Madras Medical College & Government General Hospital, Chennai",Chennai,Tamil Nadu,60.71,12,5.0,5.0,587.0,706.0,663.0,882.0,1250.0,1588.0,1028.0,1083.0,188.0,495.0,34.0,10.0,544.0,526.0,706.0,1062.0,291.0,0.0,187.0,0.0,13.0,0.0,759.0,1588.0,114461656.0,820251800.0,3201095200.0,0.0,70650000.0,212215000.0,252867000.0,0.0,34700000.0,16700000.0,207600000.0,0.0,2041129600.0,5735557000.0,15881129.0,815974000.0,5399591000.0,47745000.0,598600000.0,4452900000.0,16987000.0
214,2022.0,Medical,IR-D-C-5838,Gujarat Cancer & Research Institute,Ahmadabad,Gujarat,50.87,37,0.0,3.0,0.0,28.0,0.0,38.0,0.0,66.0,0.0,48.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,3451276.0,737500.0,69351030.0,0.0,2912889.0,4094600.0,813638300.0,0.0,5714007.0,58058070.0,226760130.0,0.0,598913200.0,916990800.0,1410183.0,862298300.0,821885200.0,5081022.0,701479040.0,774252500.0,3663139.0
215,2022.0,Medical,IR-D-C-6051,B. J. Medical College,Ahmadabad,Gujarat,46.53,50,5.0,5.0,940.0,322.0,310.0,290.0,1250.0,612.0,1090.0,491.0,160.0,121.0,0.0,0.0,0.0,22.0,601.0,173.0,0.0,82.0,0.0,0.0,0.0,0.0,601.0,113.0,14229150.0,21882062.0,65483000.0,0.0,10904221.0,4288047.0,53918000.0,0.0,13605322.0,190000.0,50987000.0,0.0,86256790.0,2065007000.0,214561.0,101460480.0,1808028000.0,2956020.0,193076320.0,1723885000.0,4286610.0
216,2022.0,Medical,IR-D-C-6414,Maulana Azad Medical College,Delhi,Delhi,55.94,23,5.0,5.0,794.0,363.0,456.0,255.0,1250.0,618.0,1041.0,307.0,209.0,311.0,0.0,0.0,0.0,0.0,77.0,293.0,41.0,0.0,9.0,0.0,27.0,0.0,0.0,293.0,1000000.0,29939000.0,182911220.0,0.0,31687.0,28939000.0,192911220.0,0.0,3728300.0,26944000.0,6173000.0,0.0,31833000.0,183251300.0,3509000.0,41833000.0,183251300.0,4509000.0,277096000.0,2390583000.0,4662000.0
217,2022.0,Medical,IR-D-C-7242,"Kasturba Medical College, Manipal",Manipal,Karnataka,63.89,10,5.0,5.0,585.0,204.0,659.0,249.0,1244.0,453.0,107.0,91.0,1081.0,359.0,56.0,3.0,40.0,3.0,11.0,14.0,0.0,0.0,18.0,3.0,1.0,0.0,32.0,14.0,71142060.0,1295392100.0,318532030.0,0.0,61303410.0,155570500.0,21273180.0,0.0,50190412.0,27298064.0,26859876.0,0.0,1039369000.0,1072443600.0,6606137.0,3390681600.0,1179647900.0,10969369.0,594050400.0,856747840.0,13205534.0
